No:0, Code:19, type:CLASS, value:Class, start:0, end:2
No:94, Code:0, type:DIGIT, value:3, start:94, end:null

No:95, Code:21, type:SEPARATORS, value:., start:null, end:null

No:96, Code:20, type:ID, value:Early-morning, start:96, end:null

No:97, Code:20, type:ID, value:awakening, start:97, end:null

No:98, Code:20, type:ID, value:with, start:98, end:null

No:99, Code:20, type:ID, value:inability, start:99, end:null

No:100, Code:20, type:ID, value:to, start:100, end:null

No:101, Code:20, type:ID, value:return, start:101, end:null

No:102, Code:20, type:ID, value:to, start:102, end:null

No:103, Code:20, type:ID, value:sleep, start:103, end:null

No:104, Code:21, type:SEPARATORS, value:., start:null, end:null

No:105, Code:20, type:ID, value:B, start:105, end:133

No:106, Code:21, type:SEPARATORS, value:., start:null, end:null

No:107, Code:20, type:ID, value:The, start:107, end:null

No:108, Code:20, type:ID, value:sleep, start:108, end:null

No:109, Code:20, type:ID, value:disturbance, start:109, end:null

No:110, Code:20, type:ID, value:causes, start:110, end:null

No:111, Code:20, type:ID, value:clinically, start:111, end:null

No:112, Code:20, type:ID, value:significant, start:112, end:null

No:113, Code:20, type:ID, value:distress, start:113, end:null

No:114, Code:20, type:ID, value:or, start:114, end:null

No:115, Code:20, type:ID, value:impairment, start:115, end:null

No:116, Code:20, type:ID, value:in, start:116, end:null

No:117, Code:20, type:ID, value:social, start:117, end:null

No:118, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:119, Code:20, type:ID, value:occupational, start:119, end:null

No:120, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:121, Code:20, type:ID, value:educational, start:121, end:null

No:122, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:123, Code:20, type:ID, value:academic, start:123, end:null

No:124, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:125, Code:20, type:ID, value:behavioral, start:125, end:null

No:126, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:127, Code:20, type:ID, value:or, start:127, end:null

No:128, Code:20, type:ID, value:other, start:128, end:null

No:129, Code:20, type:ID, value:important, start:129, end:null

No:130, Code:20, type:ID, value:areas, start:130, end:null

No:131, Code:20, type:ID, value:of, start:131, end:null

No:132, Code:20, type:ID, value:functioning, start:132, end:null

No:133, Code:21, type:SEPARATORS, value:., start:null, end:null

No:134, Code:20, type:ID, value:C, start:134, end:146

No:135, Code:21, type:SEPARATORS, value:., start:null, end:null

No:136, Code:20, type:ID, value:The, start:136, end:null

No:137, Code:20, type:ID, value:sleep, start:137, end:null

No:138, Code:20, type:ID, value:difficulty, start:138, end:null

No:139, Code:20, type:ID, value:occurs, start:139, end:null

No:140, Code:20, type:ID, value:at, start:140, end:null

No:141, Code:20, type:ID, value:least, start:141, end:null

No:142, Code:0, type:DIGIT, value:3, start:142, end:null

No:143, Code:20, type:ID, value:nights, start:143, end:null

No:144, Code:20, type:ID, value:per, start:144, end:null

No:145, Code:20, type:ID, value:week, start:145, end:null

No:146, Code:21, type:SEPARATORS, value:., start:null, end:null

No:147, Code:20, type:ID, value:D, start:147, end:159

No:148, Code:21, type:SEPARATORS, value:., start:null, end:null

No:149, Code:20, type:ID, value:The, start:149, end:null

No:150, Code:20, type:ID, value:sleep, start:150, end:null

No:151, Code:20, type:ID, value:difficulty, start:151, end:null

No:152, Code:20, type:ID, value:is, start:152, end:null

No:153, Code:20, type:ID, value:present, start:153, end:null

No:154, Code:20, type:ID, value:for, start:154, end:null

No:155, Code:20, type:ID, value:at, start:155, end:null

No:156, Code:20, type:ID, value:least, start:156, end:null

No:157, Code:0, type:DIGIT, value:3, start:157, end:null

No:158, Code:20, type:ID, value:months, start:158, end:null

No:159, Code:21, type:SEPARATORS, value:., start:null, end:null

No:160, Code:20, type:ID, value:E, start:160, end:171

No:161, Code:21, type:SEPARATORS, value:., start:null, end:null

No:162, Code:20, type:ID, value:The, start:162, end:null

No:163, Code:20, type:ID, value:sleep, start:163, end:null

No:164, Code:20, type:ID, value:difficulty, start:164, end:null

No:165, Code:20, type:ID, value:occurs, start:165, end:null

No:166, Code:20, type:ID, value:despite, start:166, end:null

No:167, Code:20, type:ID, value:adequate, start:167, end:null

No:168, Code:20, type:ID, value:opportunity, start:168, end:null

No:169, Code:20, type:ID, value:for, start:169, end:null

No:170, Code:20, type:ID, value:sleep, start:170, end:null

No:171, Code:21, type:SEPARATORS, value:., start:null, end:null

No:172, Code:20, type:ID, value:F, start:172, end:215

No:173, Code:21, type:SEPARATORS, value:., start:null, end:null

No:174, Code:20, type:ID, value:The, start:174, end:null

No:175, Code:20, type:ID, value:insomnia, start:175, end:null

No:176, Code:20, type:ID, value:is, start:176, end:null

No:177, Code:20, type:ID, value:not, start:177, end:null

No:178, Code:20, type:ID, value:better, start:178, end:null

No:179, Code:20, type:ID, value:explained, start:179, end:null

No:180, Code:20, type:ID, value:by, start:180, end:null

No:181, Code:20, type:ID, value:and, start:181, end:null

No:182, Code:20, type:ID, value:does, start:182, end:null

No:183, Code:20, type:ID, value:not, start:183, end:null

No:184, Code:20, type:ID, value:occur, start:184, end:null

No:185, Code:20, type:ID, value:exclusively, start:185, end:null

No:186, Code:20, type:ID, value:during, start:186, end:null

No:187, Code:20, type:ID, value:the, start:187, end:null

No:188, Code:20, type:ID, value:course, start:188, end:null

No:189, Code:20, type:ID, value:of, start:189, end:null

No:190, Code:20, type:ID, value:another, start:190, end:null

No:191, Code:20, type:ID, value:sleep-wake, start:191, end:null

No:192, Code:20, type:ID, value:disorder, start:192, end:null

No:193, Code:21, type:SEPARATORS, value:(, start:null, end:null

No:194, Code:20, type:ID, value:e, start:194, end:null

No:195, Code:21, type:SEPARATORS, value:., start:null, end:null

No:196, Code:20, type:ID, value:g, start:196, end:null

No:197, Code:21, type:SEPARATORS, value:., start:null, end:null

No:198, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:199, Code:20, type:ID, value:narcolepsy, start:199, end:null

No:200, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:201, Code:20, type:ID, value:a, start:201, end:null

No:202, Code:20, type:ID, value:breathing-related, start:202, end:null

No:203, Code:20, type:ID, value:sleep, start:203, end:null

No:204, Code:20, type:ID, value:disorder, start:204, end:null

No:205, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:206, Code:20, type:ID, value:a, start:206, end:null

No:207, Code:20, type:ID, value:circadian, start:207, end:null

No:208, Code:20, type:ID, value:rhythm, start:208, end:null

No:209, Code:20, type:ID, value:sleep-wake, start:209, end:null

No:210, Code:20, type:ID, value:disorder, start:210, end:null

No:211, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:212, Code:20, type:ID, value:a, start:212, end:null

No:213, Code:20, type:ID, value:parasomnia, start:213, end:null

No:214, Code:21, type:SEPARATORS, value:), start:null, end:null

No:215, Code:21, type:SEPARATORS, value:., start:null, end:null

No:216, Code:20, type:ID, value:G, start:216, end:244

No:217, Code:21, type:SEPARATORS, value:., start:null, end:null

No:218, Code:20, type:ID, value:The, start:218, end:null

No:219, Code:20, type:ID, value:insomnia, start:219, end:null

No:220, Code:20, type:ID, value:is, start:220, end:null

No:221, Code:20, type:ID, value:not, start:221, end:null

No:222, Code:20, type:ID, value:attributable, start:222, end:null

No:223, Code:20, type:ID, value:to, start:223, end:null

No:224, Code:20, type:ID, value:the, start:224, end:null

No:225, Code:20, type:ID, value:physiological, start:225, end:null

No:226, Code:20, type:ID, value:effects, start:226, end:null

No:227, Code:20, type:ID, value:of, start:227, end:null

No:228, Code:20, type:ID, value:a, start:228, end:null

No:229, Code:20, type:ID, value:substance, start:229, end:null

No:230, Code:21, type:SEPARATORS, value:(, start:null, end:null

No:231, Code:20, type:ID, value:e, start:231, end:null

No:232, Code:21, type:SEPARATORS, value:., start:null, end:null

No:233, Code:20, type:ID, value:g, start:233, end:null

No:234, Code:21, type:SEPARATORS, value:., start:null, end:null

No:235, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:236, Code:20, type:ID, value:a, start:236, end:null

No:237, Code:20, type:ID, value:drug, start:237, end:null

No:238, Code:20, type:ID, value:of, start:238, end:null

No:239, Code:20, type:ID, value:abuse, start:239, end:null

No:240, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:241, Code:20, type:ID, value:a, start:241, end:null

No:242, Code:20, type:ID, value:medication, start:242, end:null

No:243, Code:21, type:SEPARATORS, value:), start:null, end:null

No:244, Code:21, type:SEPARATORS, value:., start:null, end:null

No:245, Code:20, type:ID, value:H, start:245, end:262

No:246, Code:21, type:SEPARATORS, value:., start:null, end:null

No:247, Code:20, type:ID, value:Coexisting, start:247, end:null

No:248, Code:20, type:ID, value:mental, start:248, end:null

No:249, Code:20, type:ID, value:disorders, start:249, end:null

No:250, Code:20, type:ID, value:and, start:250, end:null

No:251, Code:20, type:ID, value:medical, start:251, end:null

No:252, Code:20, type:ID, value:conditions, start:252, end:null

No:253, Code:20, type:ID, value:do, start:253, end:null

No:254, Code:20, type:ID, value:not, start:254, end:null

No:255, Code:20, type:ID, value:adequately, start:255, end:null

No:256, Code:20, type:ID, value:explain, start:256, end:null

No:257, Code:20, type:ID, value:the, start:257, end:null

No:258, Code:20, type:ID, value:predominant, start:258, end:null

No:259, Code:20, type:ID, value:complaint, start:259, end:null

No:260, Code:20, type:ID, value:of, start:260, end:null

No:261, Code:20, type:ID, value:insomnia, start:261, end:null

No:262, Code:21, type:SEPARATORS, value:., start:null, end:null

No:263, Code:6, type:DFS, value:Diagnostic-Features, start:263, end:301

No:264, Code:20, type:ID, value:The, start:264, end:null

No:265, Code:20, type:ID, value:essential, start:265, end:null

No:266, Code:20, type:ID, value:feature, start:266, end:null

No:267, Code:20, type:ID, value:of, start:267, end:null

No:268, Code:20, type:ID, value:insomnia, start:268, end:null

No:269, Code:20, type:ID, value:disorder, start:269, end:null

No:270, Code:20, type:ID, value:is, start:270, end:null

No:271, Code:20, type:ID, value:dissatisfaction, start:271, end:null

No:272, Code:20, type:ID, value:with, start:272, end:null

No:273, Code:20, type:ID, value:sleep, start:273, end:null

No:274, Code:20, type:ID, value:quantity, start:274, end:null

No:275, Code:20, type:ID, value:or, start:275, end:null

No:276, Code:20, type:ID, value:quality, start:276, end:null

No:277, Code:20, type:ID, value:with, start:277, end:null

No:278, Code:20, type:ID, value:complaints, start:278, end:null

No:279, Code:20, type:ID, value:of, start:279, end:null

No:280, Code:20, type:ID, value:difficulty, start:280, end:null

No:281, Code:20, type:ID, value:initiating, start:281, end:null

No:282, Code:20, type:ID, value:or, start:282, end:null

No:283, Code:20, type:ID, value:maintaining, start:283, end:null

No:284, Code:20, type:ID, value:sleep, start:284, end:null

No:285, Code:21, type:SEPARATORS, value:., start:null, end:null

No:286, Code:20, type:ID, value:The, start:286, end:null

No:287, Code:20, type:ID, value:sleep, start:287, end:null

No:288, Code:20, type:ID, value:complaints, start:288, end:null

No:289, Code:20, type:ID, value:are, start:289, end:null

No:290, Code:20, type:ID, value:accompanied, start:290, end:null

No:291, Code:20, type:ID, value:by, start:291, end:null

No:292, Code:20, type:ID, value:clinically, start:292, end:null

No:293, Code:20, type:ID, value:significant, start:293, end:null

No:294, Code:20, type:ID, value:distress, start:294, end:null

No:295, Code:20, type:ID, value:or, start:295, end:null

No:296, Code:20, type:ID, value:impairment, start:296, end:null

No:297, Code:20, type:ID, value:in, start:297, end:null

No:298, Code:20, type:ID, value:social, start:298, end:null

No:299, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:300, Code:20, type:ID, value:occupational, start:300, end:null

No:301, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:302, Code:3, type:SPECIFY, value:Specify, start:302, end:318

No:303, Code:20, type:ID, value:if, start:303, end:null

No:304, Code:21, type:SEPARATORS, value::, start:null, end:null

No:305, Code:20, type:ID, value:With, start:305, end:null

No:306, Code:20, type:ID, value:non-sleep, start:306, end:null

No:307, Code:20, type:ID, value:disorder, start:307, end:null

No:308, Code:20, type:ID, value:mental, start:308, end:null

No:309, Code:20, type:ID, value:comorbidity, start:309, end:null

No:310, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:311, Code:20, type:ID, value:including, start:311, end:null

No:312, Code:20, type:ID, value:substance, start:312, end:null

No:313, Code:20, type:ID, value:use, start:313, end:null

No:314, Code:20, type:ID, value:disorders, start:314, end:null

No:315, Code:20, type:ID, value:With, start:315, end:null

No:316, Code:20, type:ID, value:other, start:316, end:null

No:317, Code:20, type:ID, value:medical, start:317, end:null

No:318, Code:20, type:ID, value:comorbidity, start:318, end:null

No:319, Code:3, type:SPECIFY, value:Specify, start:319, end:337

No:320, Code:20, type:ID, value:if, start:320, end:null

No:321, Code:21, type:SEPARATORS, value::, start:null, end:null

No:322, Code:20, type:ID, value:Episodic, start:322, end:null

No:323, Code:21, type:SEPARATORS, value::, start:null, end:null

No:324, Code:20, type:ID, value:Sy, start:324, end:null

No:325, Code:21, type:SEPARATORS, value:(, start:null, end:null

No:326, Code:20, type:ID, value:nptoms, start:326, end:null

No:327, Code:20, type:ID, value:last, start:327, end:null

No:328, Code:20, type:ID, value:at, start:328, end:null

No:329, Code:20, type:ID, value:least, start:329, end:null

No:330, Code:0, type:DIGIT, value:1, start:330, end:null

No:331, Code:20, type:ID, value:month, start:331, end:null

No:332, Code:20, type:ID, value:but, start:332, end:null

No:333, Code:20, type:ID, value:less, start:333, end:null

No:334, Code:20, type:ID, value:than, start:334, end:null

No:335, Code:0, type:DIGIT, value:3, start:335, end:null

No:336, Code:20, type:ID, value:months, start:336, end:null

No:337, Code:21, type:SEPARATORS, value:., start:null, end:null

No:338, Code:4, type:NOTE, value:Note, start:338, end:386

No:339, Code:21, type:SEPARATORS, value::, start:null, end:null

No:340, Code:20, type:ID, value:Acute, start:340, end:null

No:341, Code:20, type:ID, value:and, start:341, end:null

No:342, Code:20, type:ID, value:short-term, start:342, end:null

No:343, Code:20, type:ID, value:insomnia, start:343, end:null

No:344, Code:21, type:SEPARATORS, value:(, start:null, end:null

No:345, Code:20, type:ID, value:i, start:345, end:null

No:346, Code:21, type:SEPARATORS, value:., start:null, end:null

No:347, Code:20, type:ID, value:e, start:347, end:null

No:348, Code:21, type:SEPARATORS, value:., start:null, end:null

No:349, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:350, Code:20, type:ID, value:symptoms, start:350, end:null

No:351, Code:20, type:ID, value:lasting, start:351, end:null

No:352, Code:20, type:ID, value:less, start:352, end:null

No:353, Code:20, type:ID, value:than, start:353, end:null

No:354, Code:0, type:DIGIT, value:3, start:354, end:null

No:355, Code:20, type:ID, value:months, start:355, end:null

No:356, Code:20, type:ID, value:but, start:356, end:null

No:357, Code:20, type:ID, value:othenA, start:357, end:null

No:358, Code:21, type:SEPARATORS, value:/, start:null, end:null

No:359, Code:20, type:ID, value:ise, start:359, end:null

No:360, Code:20, type:ID, value:meeting, start:360, end:null

No:361, Code:20, type:ID, value:all, start:361, end:null

No:362, Code:20, type:ID, value:criteria, start:362, end:null

No:363, Code:20, type:ID, value:with, start:363, end:null

No:364, Code:20, type:ID, value:regard, start:364, end:null

No:365, Code:20, type:ID, value:to, start:365, end:null

No:366, Code:20, type:ID, value:frequency, start:366, end:null

No:367, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:368, Code:20, type:ID, value:intensity, start:368, end:null

No:369, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:370, Code:20, type:ID, value:distress, start:370, end:null

No:371, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:372, Code:20, type:ID, value:and, start:372, end:null

No:373, Code:21, type:SEPARATORS, value:/, start:null, end:null

No:374, Code:20, type:ID, value:or, start:374, end:null

No:375, Code:20, type:ID, value:impairment, start:375, end:null

No:376, Code:21, type:SEPARATORS, value:), start:null, end:null

No:377, Code:20, type:ID, value:should, start:377, end:null

No:378, Code:20, type:ID, value:be, start:378, end:null

No:379, Code:20, type:ID, value:coded, start:379, end:null

No:380, Code:20, type:ID, value:as, start:380, end:null

No:381, Code:20, type:ID, value:an, start:381, end:null

No:382, Code:20, type:ID, value:other, start:382, end:null

No:383, Code:20, type:ID, value:specified, start:383, end:null

No:384, Code:20, type:ID, value:insomnia, start:384, end:null

No:385, Code:20, type:ID, value:disorder, start:385, end:null

No:386, Code:21, type:SEPARATORS, value:., start:null, end:null

No:387, Code:8, type:PREVALENCE, value:Prevalence, start:387, end:448

No:388, Code:20, type:ID, value:Population-based, start:388, end:null

No:389, Code:20, type:ID, value:estimates, start:389, end:null

No:390, Code:20, type:ID, value:indicate, start:390, end:null

No:391, Code:20, type:ID, value:that, start:391, end:null

No:392, Code:20, type:ID, value:about, start:392, end:null

No:393, Code:20, type:ID, value:one-third, start:393, end:null

No:394, Code:20, type:ID, value:of, start:394, end:null

No:395, Code:20, type:ID, value:adults, start:395, end:null

No:396, Code:20, type:ID, value:report, start:396, end:null

No:397, Code:20, type:ID, value:insomnia, start:397, end:null

No:398, Code:20, type:ID, value:symptoms, start:398, end:null

No:399, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:400, Code:0, type:DIGIT, value:10, start:400, end:null

No:401, Code:21, type:SEPARATORS, value:%, start:null, end:null

No:402, Code:0, type:DIGIT, value:-15, start:402, end:null

No:403, Code:21, type:SEPARATORS, value:%, start:null, end:null

No:404, Code:20, type:ID, value:experience, start:404, end:null

No:405, Code:20, type:ID, value:associated, start:405, end:null

No:406, Code:20, type:ID, value:daytime, start:406, end:null

No:407, Code:20, type:ID, value:impairments, start:407, end:null

No:408, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:409, Code:20, type:ID, value:and, start:409, end:null

No:410, Code:0, type:DIGIT, value:6, start:410, end:null

No:411, Code:21, type:SEPARATORS, value:%, start:null, end:null

No:412, Code:0, type:DIGIT, value:-10, start:412, end:null

No:413, Code:21, type:SEPARATORS, value:%, start:null, end:null

No:414, Code:20, type:ID, value:have, start:414, end:null

No:415, Code:20, type:ID, value:symptoms, start:415, end:null

No:416, Code:20, type:ID, value:that, start:416, end:null

No:417, Code:20, type:ID, value:meet, start:417, end:null

No:418, Code:20, type:ID, value:criteria, start:418, end:null

No:419, Code:20, type:ID, value:for, start:419, end:null

No:420, Code:20, type:ID, value:insonmia, start:420, end:null

No:421, Code:20, type:ID, value:disorder, start:421, end:null

No:422, Code:21, type:SEPARATORS, value:., start:null, end:null

No:423, Code:20, type:ID, value:Insomnia, start:423, end:null

No:424, Code:20, type:ID, value:disorder, start:424, end:null

No:425, Code:20, type:ID, value:is, start:425, end:null

No:426, Code:20, type:ID, value:the, start:426, end:null

No:427, Code:20, type:ID, value:most, start:427, end:null

No:428, Code:20, type:ID, value:prevalent, start:428, end:null

No:429, Code:20, type:ID, value:of, start:429, end:null

No:430, Code:20, type:ID, value:all, start:430, end:null

No:431, Code:20, type:ID, value:sleep, start:431, end:null

No:432, Code:20, type:ID, value:disorders, start:432, end:null

No:433, Code:21, type:SEPARATORS, value:., start:null, end:null

No:434, Code:20, type:ID, value:ù, start:434, end:null

No:435, Code:21, type:SEPARATORS, value:;, start:null, end:null

No:436, Code:20, type:ID, value:i, start:436, end:null

No:437, Code:20, type:ID, value:primary, start:437, end:null

No:438, Code:20, type:ID, value:care, start:438, end:null

No:439, Code:20, type:ID, value:settings, start:439, end:null

No:440, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:441, Code:20, type:ID, value:approximately, start:441, end:null

No:442, Code:0, type:DIGIT, value:10, start:442, end:null

No:443, Code:21, type:SEPARATORS, value:%, start:null, end:null

No:444, Code:0, type:DIGIT, value:-20, start:444, end:null

No:445, Code:21, type:SEPARATORS, value:%, start:null, end:null

No:446, Code:20, type:ID, value:of, start:446, end:null

No:447, Code:20, type:ID, value:individuals, start:447, end:null

No:448, Code:20, type:ID, value:complain, start:448, end:null

No:449, Code:9, type:DACE, value:Development-and-Course, start:449, end:529

No:450, Code:20, type:ID, value:The, start:450, end:null

No:451, Code:20, type:ID, value:onset, start:451, end:null

No:452, Code:20, type:ID, value:of, start:452, end:null

No:453, Code:20, type:ID, value:insomnia, start:453, end:null

No:454, Code:20, type:ID, value:symptoms, start:454, end:null

No:455, Code:20, type:ID, value:can, start:455, end:null

No:456, Code:20, type:ID, value:occur, start:456, end:null

No:457, Code:20, type:ID, value:at, start:457, end:null

No:458, Code:20, type:ID, value:any, start:458, end:null

No:459, Code:20, type:ID, value:time, start:459, end:null

No:460, Code:20, type:ID, value:during, start:460, end:null

No:461, Code:20, type:ID, value:life, start:461, end:null

No:462, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:463, Code:20, type:ID, value:but, start:463, end:null

No:464, Code:20, type:ID, value:the, start:464, end:null

No:465, Code:20, type:ID, value:first, start:465, end:null

No:466, Code:20, type:ID, value:episode, start:466, end:null

No:467, Code:20, type:ID, value:is, start:467, end:null

No:468, Code:20, type:ID, value:more, start:468, end:null

No:469, Code:20, type:ID, value:common, start:469, end:null

No:470, Code:20, type:ID, value:in, start:470, end:null

No:471, Code:20, type:ID, value:young, start:471, end:null

No:472, Code:20, type:ID, value:adulthood, start:472, end:null

No:473, Code:21, type:SEPARATORS, value:., start:null, end:null

No:474, Code:20, type:ID, value:Less, start:474, end:null

No:475, Code:20, type:ID, value:frequently, start:475, end:null

No:476, Code:21, type:SEPARATORS, value:,, start:null, end:null

No:477, Code:20, type:ID, value:insomnia, start:477, end:null

No:478, Code:20, type:ID, value:begins, start:478, end:null

No:479, Code:20, type:ID, value:in, start:479, end:null

No:480, Code:20, type:ID, value:childhood, start:480, end:null

No:481, Code:20, type:ID, value:or, start:481, end:null

No:482, Code:20, type:ID, value:adolescence, start:482, end:null

